Caption,Platform,Search Query,Date of Collection,Link,Keyword Density (%),Readability Score,Caption Length,Hashtag Count,Hashtag Type,Post Timing,Sentiment Score,Caption Format,CTA Presence,Emphasis Style (%),Search Rank,Search Visibility,Caption Score,Top 20 Probability %
"10 More Local Streetwear Brands That Are Instant Head-Turners | Complex PH
Showcasing several notable local streetwear brands that are guaranteed to turn heads thanks to their massive drip.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1AhcRgLhRB/,25,48.49,28,0,0,16.5,0.44,2,0,9.88%,1,1,-1.046217472,25.99521113
"𝐓𝐡𝐞 𝐟𝐢𝐧𝐚𝐥 𝐥𝐨𝐜𝐚𝐥 𝐛𝐫𝐚𝐧𝐝 𝐰𝐞'𝐥𝐥 𝐛𝐞 𝐡𝐢𝐠𝐡𝐥𝐢𝐠𝐡𝐭𝐢𝐧𝐠 𝐢𝐬: 
→  𝐇𝐲𝐬𝐭𝐞𝐫𝐢𝐚.
Hysteria is not your typical clothing brand. 
“We want to be more than just a streetwear brand that flaunts nothing but its logo. We want to be heard.”
Please do take a look at their products!
FB: Hysteria Supply
IG: https://www.instagram.com/hysteria360 
Shopee: https://shopee.ph/hysteria.co 
Contact #: 09215950169 (Jonathan Dizon)",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16mKfPGumB/,1.79,21.58,56,0,0,13,-0.549,3,1,26.02%,2,1,-1.109694352,24.79278752
"5 Local Streetwear Brands That Are Instant Head-Turners
We list down local streetwear brands that have contributed to the culture and deserve a spot in your wardrobe.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1AC3MeZMyF/,22.22,60.36,27,0,0,15.7667,0,2,0,7.80%,3,1,-1.068525451,25.56836038
"Local Brand in R’Houzze
@prettiest_ph 
Prettiest Hoodie
Large to 2XL - 2000
For Online purchases 💯
Kindly message us to order!
For In-Store purchases 💯
We’re open Tuesday to Sunday - 2:30 to 9:00, Come drop by!
“House of Streetwear in Pasig”
See you there 🤙🏼
📌 75 Dr Sixto Antonio Avenue Rosario Pasig City
📌 Near Barangay Hall
“R’Houzze” - on google maps/waze",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/15hJNMQvxR/,3.64,23.34,55,0,0,17.2333,0.749,3,1,23.39%,4,1,-1.124394693,24.51970233
"Y’all ready?! ✨
LOCAL PARADE STREETWEARCON 4
Ayala Malls Fairview Terraces Activity Center
Sept 30,2023 - Oct 1,2023 | 10AM - 9PM
Discover a different side of the local streetwear community and shop the best deals from your favorite local brands! 
Make sure to wear your best fit and we’ll see you at the parade. 👀
#LocalParadePH #AyalaMallsFairviewTerraces #StreetwearCon4 #ShopAtLocalParadePH",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1EZyYyyaZc/,9.8,30.66,51,4,2,16.3667,0.96,3,1,20.83%,5,1,-1.370912461,20.24724647
"We are a direct manufacturer of local clothing brands in the Philippines specializing in streetwear. 
With 9 years of experience in the field, we have worked alongside brand owners in turning their ideas into products. Our goal is to help co-entrepreneurs and start-ups in building successful clothing businesses. 
For quotation and inquiries:
📞09272547825
🖲 printing.avenueph@gmail.com",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/printing.avenueph/posts/pfbid02VreHWrLQ9EB8bRo2CaH9LK89HLEUAYwGMkTvfgNSaKpz4qLtqrRuTZ7yXX31xeKl,5.56,1.63,54,0,0,14.1167,0.758,3,0,4.27%,6,1,-1.253857903,22.20330319
"""LOCAL STREETWEAR
CLOTHING/APPAREL BRANDS"" 
🏪 MERCHBOX SHOP
(Rotonda,Caniogan,PASIG)
TAMBAY Caps
HIGHMINDS
SUPREMO Apparel Co.
RISE of BRUTALITY
MARIA Clothing Co.
DEADBITES Clothing
GAHI Outdoor
FROLIC ph
GRAPIKA RIZAL
Juan Supply Co.
SIXEN ART Clothing
GNARLY
UNDRRTD
Lust Manila
FBRKD
OFFHIGH
🏪 We are your Lokal Dealer
since 2014.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1Aff6eJ8KP/,8.7,5.66,46,0,0,10.6167,0,3,0,66.12%,7,1,-1.272012529,21.89129349
"Local Parade PH: STREETWEAR CON 3 
JULY 29-30,2023 (Sat & Sun)
Marquee Mall by Ayala Malls Pampanga
Expected foot traffic: 50,000-70,000 per day.
Looking for streetwear brands from manila/pampanga, food, beverage, apparel & accessories merchants. 
Dm me or email us at localparadeph@gmail.com",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16TPaCMJuC/,12.5,13.96,40,0,0,18.55,0,3,1,18.15%,8,1,-1.012850863,26.64223031
"Charlotte Folk has initiated a recall after customers raised issues about a misspelling on one of their products.
Over the weekend, several customers aired complaints about receiving a Redefining Sweater in Blue or Green that had a misspelled word. Instead of “redefining,” the sweater read “redifining”.
Fans of BINI, who collaborated with Charlotte Folk for this drop, pointed out that even the sweaters Stacy and Jhoanna wore had the same misspelling.
The local streetwear brand quickly issued a statement that they will be “initiating a recall for all Redefining Sweaters in Blue and Green due to a quality control oversight.”
Customers who have received this faulty product can expect an email from Charlotte Folk. The brand also promised “compensation options for the inconvenience caused.”
“We recognize that none of this is okay and we're truly sorry for the disappointment. We're fully committed to making this right and ensuring that your experience ends on a positive note. Thank you so much for understanding,” the statement ended.
Netizens praised the brand for quickly taking action. “Kudos to team CF for admitting the lapse on their end and for taking action and doing this product recall. 👌🏻,” an X (formerly Twitter) user wrote.
“I mean as they should di ba... pero in fairness naman talaga sa [Charlotte Folk], nakikinig sila sa customers nila,” another said.
Established in 2018 by Jan Charlotte Venzon, Charlotte Folk is a local streetwear brand specializing in cozy yet stylish pieces for the “urban muse.” The brand recently collaborated with the Nation’s Girl Group BINI for its latest collection.
✍️ Meryl Medel
Photos from charlotte__folk/X, arcevilleja/X",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1HqTfgAFUT/,1.51,-200.05,265,0,0,17,0.94,3,0,6.88%,9,1,-0.8146780752,30.68945231
"𝐋𝐎𝐂𝐀𝐋 𝐒𝐓𝐑𝐄𝐄𝐓𝐖𝐄𝐀𝐑 𝐑𝐈𝐒𝐈𝐍𝐆 ✨🚀 
Before we formed the concept to start our own movement, we were inspired by a combination of some rookies and pioneer brands on the local scene. We were struck by their visions, standards, and how they contribute and show their identity and purpose to the scene, not just in terms of outstanding products.
They all have different creative styles, but they all have the same goal which is to rise up. These brands are examples of why a brand should be more than just labels and products, but also a movement and an important part of one's lifestyle.
The DAILY Dose. Gameplan Apparel Co. Ethereal HIGH MINDS CLOTHING BLANK-SIX Drone Clothing Co. UNDRAFTED Billdozer Clothing Co. Episodes.tv Don't Blame the Kids Apparel Co. Homeland Feast Offset Unfriend Ngarod Chong Clothing VIBEZ KLTRD Off High Clothing Co. Gnarly! Clouds: Create Loud Visionary Brand CALMEST WE DROOL RAGS Still Learning Apparel Co.  Cornerstone Clothing Crossover Brand ARMORY APPAREL REVEL Prettiest Reborn51 Wasted Story Secret Fresh finest Coziest Dreamers A$AP Apparel Co. Sumptuous. Van Gore Illicit Sheer Bliss KALAWAKAN Heavenly Saint Clo. UGLY KIDS CO. IMPLICIT PERPLEX Clothing Co. Gunner The Cozy The Reserved Godspeed NUTZ Bad Child Iyali Offgrid Zeries Master Shop BrandFor199x LINE OF SEVEN Tom Clutch ROYALTY The Hustle Club. Collective Drop Thy Origins Uncrowned Enimal KUSH Co. Egocentric NICK AUTOMATIC™ Sic Supply Co. Villain Wear Kings of the Court PH Outpace The Daily Grind Hated Apparel Teammanila Lifestyle Distorted On One's Own Bearskin™ Everything 
#LocalRising 
#drmrco",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/19LjYor9fM/,1.61,-178.27,248,2,2,16.9667,0.784,3,0,23.91%,10,1,-1.1888783,23.3459611
